fpr,tpr
0.0,0.0
0.0005446623093681918,0.0007209805335255948
0.0032679738562091504,0.0007209805335255948
0.004357298474945534,0.0014419610670511895
0.0054466230936819175,0.0014419610670511895
0.007625272331154684,0.0014419610670511895
0.008714596949891068,0.0014419610670511895
0.008714596949891068,0.004325883201153569
0.010348583877995643,0.004325883201153569
0.010893246187363835,0.004325883201153569
0.022331154684095862,0.01658255227108868
0.023420479302832243,0.01658255227108868
0.023965141612200435,0.017303532804614274
0.024509803921568627,0.017303532804614274
0.02559912854030501,0.017303532804614274
0.026143790849673203,0.017303532804614274
0.026143790849673203,0.01802451333813987
0.026688453159041396,0.01802451333813987
0.027777777777777776,0.01946647440519106
0.029411764705882353,0.020187454938716654
0.029956427015250545,0.020187454938716654
0.034858387799564274,0.02090843547224225
0.03649237472766884,0.02090843547224225
0.03758169934640523,0.02090843547224225
0.03758169934640523,0.021629416005767843
0.03812636165577342,0.021629416005767843
0.03812636165577342,0.022350396539293438
0.06427015250544663,0.03460706560922855
0.0664488017429194,0.03460706560922855
0.06699346405228758,0.03460706560922855
0.06808278867102396,0.03460706560922855
0.06971677559912855,0.03460706560922855
0.07026143790849673,0.03460706560922855
0.07026143790849673,0.03604902667627974
0.0724400871459695,0.03604902667627974
0.07352941176470588,0.03604902667627974
0.07407407407407407,0.03604902667627974
0.07625272331154684,0.03604902667627974
0.07625272331154684,0.03749098774333093
0.07734204793028322,0.03749098774333093
0.07734204793028322,0.03893294881038212
0.07734204793028322,0.03965392934390771
0.0784313725490196,0.03965392934390771
0.105119825708061,0.047584715212689255
0.10620915032679738,0.047584715212689255
0.10947712418300654,0.04830569574621485
0.11002178649237472,0.04830569574621485
0.1116557734204793,0.04830569574621485
0.11383442265795207,0.04974765681326604
0.12091503267973856,0.04974765681326604
0.12581699346405228,0.04974765681326604
0.12690631808278868,0.04974765681326604
0.12854030501089325,0.04974765681326604
0.13344226579520696,0.0555155010814708
0.13398692810457516,0.0555155010814708
0.13507625272331156,0.0555155010814708
0.13507625272331156,0.05623648161499639
0.1377995642701525,0.05623648161499639
0.1377995642701525,0.05767844268204758
0.1383442265795207,0.05767844268204758
0.1394335511982571,0.05767844268204758
0.1394335511982571,0.058399423215573176
0.13997821350762527,0.058399423215573176
0.14106753812636166,0.058399423215573176
0.1454248366013072,0.05912040374909877
0.14651416122004357,0.05912040374909877
0.14760348583877997,0.05912040374909877
0.14869281045751634,0.05912040374909877
0.14978213507625274,0.05912040374909877
0.1514161220043573,0.05912040374909877
0.15196078431372548,0.05912040374909877
0.15413943355119825,0.05912040374909877
0.15522875816993464,0.05912040374909877
0.15577342047930284,0.05912040374909877
0.15631808278867101,0.059841384282624366
0.16230936819172112,0.06200432588320115
0.16339869281045752,0.06200432588320115
0.1644880174291939,0.06200432588320115
0.1655773420479303,0.06560922855082912
0.16666666666666666,0.06560922855082912
0.17265795206971676,0.07209805335255948
0.17265795206971676,0.07281903388608507
0.17320261437908496,0.07354001441961067
0.184640522875817,0.0829127613554434
0.18572984749455337,0.0829127613554434
0.18627450980392157,0.0829127613554434
0.9972766884531591,0.9971160778658976
0.9994553376906318,1.0
1.0,1.0
